Round,Grand Prix,Circuit,Race date
1,Bahrain Grand Prix,"Bahrain International Circuit, Sakhir",5 March
2,Saudi Arabian Grand Prix,"Jeddah Corniche Circuit, Jeddah",19 March
3,Australian Grand Prix,"Albert Park Circuit, Melbourne",2 April
4,Azerbaijan Grand Prix,"Baku City Circuit, Baku",30 April
5,Miami Grand Prix,"Miami International Autodrome, Miami",7 May
6,Emilia Romagna Grand Prix,"Imola Circuit, Imola",21 May
7,Monaco Grand Prix,"Circuit de Monaco, Monte-Carlo",28 May
8,Spanish Grand Prix,"Circuit de Barcelona-Catalunya, Montmeló",4 June
9,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",18 June
10,Austrian Grand Prix,"Red Bull Ring, Spielberg",2 July
11,British Grand Prix,"Silverstone Circuit, Silverstone",9 July
12,Hungarian Grand Prix,"Hungaroring, Budapest",23 July
13,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Spa",30 July
14,Dutch Grand Prix,"Circuit Zandvoort, Zandvoort",27 August
15,Italian Grand Prix,"Monza Circuit, Monza",3 September
16,Singapore Grand Prix,"Marina Bay Street Circuit, Marina Bay",17 September
17,Japanese Grand Prix,"Suzuka International Racing Course, Suzuka",24 September
18,Qatar Grand Prix,"Lusail International Circuit, Al Daayen",8 October
19,United States Grand Prix,"Circuit of the Americas, Austin",22 October
20,Mexico City Grand Prix,"Autódromo Hermanos Rodríguez, Mexico City",29 October
21,São Paulo Grand Prix,"Interlagos Circuit, São Paulo",5 November
22,Las Vegas Grand Prix,"Las Vegas Strip Circuit, Las Vegas",18 November
23,Abu Dhabi Grand Prix,"Yas Marina Circuit, Abu Dhabi",26 November
